stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,ethnic_identity
hospitable,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,en,hospitable,Yoruba *
proud,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,cs,proud,Yoruba *
cultural,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,ro,cultural,Yoruba *
talkative,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,fi,talkative,Yoruba *
intelligent,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,nl,intelligent,Yoruba *
flamboyant,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,id,flamboyant,Yoruba *
respectful,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,es,respectful,Yoruba *
dramatic,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,hr,dramatic,Yoruba *
sociable,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,es,sociable,Yoruba *
Hausa are Hardworking,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,af,Hausa are Hardworking,Yoruba *
reserved,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,no,reserved,Yoruba *
traditional,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,en,traditional,Yoruba *
religious,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,en,religious,Yoruba *
disciplined,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,it,disciplined,Yoruba *
hospitable,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,en,hospitable,Yoruba *
proud,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,cs,proud,Yoruba *
loyal,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,so,loyal,Yoruba *
conservative,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,it,conservative,Yoruba *
respectful,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,es,respectful,Yoruba *
resilient.,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,fr,resilient.,Yoruba *
Igbo are Entrepreneurial,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,ro,Igbo are Entrepreneurial,Yoruba *
industrious,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,en,industrious,Yoruba *
outspoken,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,af,outspoken,Yoruba *
resourceful,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,fr,resourceful,Yoruba *
proud,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,cs,proud,Yoruba *
ambitious,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,en,ambitious,Yoruba *
cultural,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,ro,cultural,Yoruba *
determined,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,da,determined,Yoruba *
friendly,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,da,friendly,Yoruba *
resilient,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,fr,resilient,Yoruba *
hardworking.,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,af,hardworking.,Yoruba *
People from the South are Warm,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,en,People from the South are Warm,Yoruba *
friendly,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,da,friendly,Yoruba *
diverse,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,af,diverse,Yoruba *
vibrant,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,ca,vibrant,Yoruba *
hospitable,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,en,hospitable,Yoruba *
industrious,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,en,industrious,Yoruba *
cultural,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,ro,cultural,Yoruba *
outspoken,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,af,outspoken,Yoruba *
innovative,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,sl,innovative,Yoruba *
community-oriented,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,en,community-oriented,Yoruba *
resilient,misc,83,Male *,26–35 *,Employed *,Healthcare   *,Islam  *,Nigeria *,Nigerian *,fr,resilient,Yoruba *
Jealousy,women,84,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,cs,Jealousy,Yoruba *
emotional,women,84,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,emotional,Yoruba *
strong,women,84,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,strong,Yoruba *
Energetic,women,84,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,de,Energetic,Yoruba *
Prideful,men,84,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,es,Prideful,Yoruba *
lust,men,84,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,fi,lust,Yoruba *
Angry,men,84,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,tl,Angry,Yoruba *
less open minded,men,84,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,da,less open minded,Yoruba *
Illiterate,ethnicity_region,84,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,it,Illiterate,Yoruba *
Stubborn,ethnicity_region,84,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Stubborn,Yoruba *
selfish,ethnicity_region,84,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,selfish,Yoruba *
Muslims are mohammed believers,religion,84,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,da,Muslims are mohammed believers,Yoruba *
Christians are God’s believers and traditional are gods believers,religion,84,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Christians are God’s believers and traditional are gods believers,Yoruba *
Old people have experiences,age,84,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Old people have experiences,Yoruba *
young people are learning,age,84,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,young people are learning,Yoruba *
Lawyers become judges,profession,84,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Lawyers become judges,Yoruba *
pilot flies planes,profession,84,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,fr,pilot flies planes,Yoruba *
Being better than each other based on ethnicity wise,misc,84,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Being better than each other based on ethnicity wise,Yoruba *
Kitchen,women,85,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,de,Kitchen,Yoruba *
take care of home front and children,women,85,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,take care of home front and children,Yoruba *
Provide and protect his family,men,85,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Provide and protect his family,Yoruba *
Yorubas are well read,ethnicity_region,85,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Yorubas are well read,Yoruba *
ibos are business oriented and hausas are farmers,ethnicity_region,85,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,ibos are business oriented and hausas are farmers,Yoruba *
Yorubas are practices all religion,religion,85,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Yorubas are practices all religion,Yoruba *
ibos are Christian and traditionalist and hausas are muslims,religion,85,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,ibos are Christian and traditionalist and hausas are muslims,Yoruba *
Young are the genz they go about their life's how they feel is right without the disadvantage or the advantage,age,85,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Young are the genz they go about their life's how they feel is right without the disadvantage or the advantage,Yoruba *
Older generation think critically before taking any step,age,85,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Older generation think critically before taking any step,Yoruba *
Traders are persuasive because they need to sell their product or services,profession,85,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Traders are persuasive because they need to sell their product or services,Yoruba *
Doctors are smart,profession,85,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Doctors are smart,Yoruba *
Ibos are business,misc,85,Female  *,36–50 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Ibos are business,Yoruba *
Na,men,86,Male *,26–35 *,Employed *,Manufacturing *,Christianity  *,Nigeria *,Nigerian *,vi,Na,Yoruba *
I choose to keep this private,ethnicity_region,86,Male *,26–35 *,Employed *,Manufacturing *,Christianity  *,Nigeria *,Nigerian *,en,I choose to keep this private,Yoruba *
Na,religion,86,Male *,26–35 *,Employed *,Manufacturing *,Christianity  *,Nigeria *,Nigerian *,vi,Na,Yoruba *
Na,age,86,Male *,26–35 *,Employed *,Manufacturing *,Christianity  *,Nigeria *,Nigerian *,vi,Na,Yoruba *
Na,profession,86,Male *,26–35 *,Employed *,Manufacturing *,Christianity  *,Nigeria *,Nigerian *,vi,Na,Yoruba *
Na,misc,86,Male *,26–35 *,Employed *,Manufacturing *,Christianity  *,Nigeria *,Nigerian *,vi,Na,Yoruba *
Women  are Emotional,women,87,Male *,26–35 *,Employed *,IT & Software   *,Christianity  *,Nigeria *,Nigerian *,en,Women  are Emotional,Igbo  *
Women  love money,women,87,Male *,26–35 *,Employed *,IT & Software   *,Christianity  *,Nigeria *,Nigerian *,en,Women  love money,Igbo  *
Men are cheats,men,87,Male *,26–35 *,Employed *,IT & Software   *,Christianity  *,Nigeria *,Nigerian *,en,Men are cheats,Igbo  *
Men don't cry,men,87,Male *,26–35 *,Employed *,IT & Software   *,Christianity  *,Nigeria *,Nigerian *,fr,Men don't cry,Igbo  *
People from the east are money centered,ethnicity_region,87,Male *,26–35 *,Employed *,IT & Software   *,Christianity  *,Nigeria *,Nigerian *,en,People from the east are money centered,Igbo  *
People from the west are well educated,ethnicity_region,87,Male *,26–35 *,Employed *,IT & Software   *,Christianity  *,Nigeria *,Nigerian *,en,People from the west are well educated,Igbo  *
People from the west are tribalistic,ethnicity_region,87,Male *,26–35 *,Employed *,IT & Software   *,Christianity  *,Nigeria *,Nigerian *,en,People from the west are tribalistic,Igbo  *
Old people are grumpy,age,87,Male *,26–35 *,Employed *,IT & Software   *,Christianity  *,Nigeria *,Nigerian *,ro,Old people are grumpy,Igbo  *
Young people are shortsighted,age,87,Male *,26–35 *,Employed *,IT & Software   *,Christianity  *,Nigeria *,Nigerian *,en,Young people are shortsighted,Igbo  *
Doctors have bad handwritings,profession,87,Male *,26–35 *,Employed *,IT & Software   *,Christianity  *,Nigeria *,Nigerian *,en,Doctors have bad handwritings,Igbo  *
Tailors are liars and don't keep to schedule,profession,87,Male *,26–35 *,Employed *,IT & Software   *,Christianity  *,Nigeria *,Nigerian *,en,Tailors are liars and don't keep to schedule,Igbo  *
Traders are persuasive(especially Igbos),profession,87,Male *,26–35 *,Employed *,IT & Software   *,Christianity  *,Nigeria *,Nigerian *,en,Traders are persuasive(especially Igbos),Igbo  *
Yorubas like Oily foods,misc,87,Male *,26–35 *,Employed *,IT & Software   *,Christianity  *,Nigeria *,Nigerian *,en,Yorubas like Oily foods,Igbo  *
Yorubas like peppery foods,misc,87,Male *,26–35 *,Employed *,IT & Software   *,Christianity  *,Nigeria *,Nigerian *,en,Yorubas like peppery foods,Igbo  *
Igbos are visionaries,misc,87,Male *,26–35 *,Employed *,IT & Software   *,Christianity  *,Nigeria *,Nigerian *,lt,Igbos are visionaries,Igbo  *
Hausas are honorable and loyal,misc,87,Male *,26–35 *,Employed *,IT & Software   *,Christianity  *,Nigeria *,Nigerian *,en,Hausas are honorable and loyal,Igbo  *
Women are nurturing,women,88,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,ro,Women are nurturing,Igbo  *
women are emotional,women,88,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,women are emotional,Igbo  *
women are bad at math,women,88,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,women are bad at math,Igbo  *
women are bad drivers,women,88,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,af,women are bad drivers,Igbo  *
women are talkative,women,88,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,women are talkative,Igbo  *
women are more suited for caregiving roles,women,88,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,women are more suited for caregiving roles,Igbo  *
women are less rational than men,women,88,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,women are less rational than men,Igbo  *
women are physically weaker,women,88,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,women are physically weaker,Igbo  *
Men are strong,men,88,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,sv,Men are strong,Igbo  *
men are unemotional,men,88,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,fr,men are unemotional,Igbo  *
men are natural leaders,men,88,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,ca,men are natural leaders,Igbo  *
men are better at math and science,men,88,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,men are better at math and science,Igbo  *
men are bad at expressing feelings,men,88,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,men are bad at expressing feelings,Igbo  *
men are aggressive,men,88,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,it,men are aggressive,Igbo  *
men are dominant,men,88,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,es,men are dominant,Igbo  *
men are logical rather than emotional,men,88,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,men are logical rather than emotional,Igbo  *
men are more interested in sex,men,88,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,men are more interested in sex,Igbo  *
Nigerians are scammers,ethnicity_region,88,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,da,Nigerians are scammers,Igbo  *
Muslims are terrorists,religion,88,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Muslims are terrorists,Igbo  *
Younger generations are careless and uninterested in education,age,88,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Younger generations are careless and uninterested in education,Igbo  *
Doctors are smarter than nurses,profession,88,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Doctors are smarter than nurses,Igbo  *
Blacks are lesser than whites,misc,88,Male *,18–25 *,Self-employed *,,Christianity  *,Nigeria *,Nigerian *,en,Blacks are lesser than whites,Igbo  *
la femme est perçue comme ayant pour seul rôle de gérer les tâches domestiques,women,90,Male *,26–35 *,Self-employed *,,Islam  *,Rwanda *,Burkinabe  *,fr,The woman is perceived as the sole role of managing domestic tasks,Mossi
de s’occuper des enfants et d’assurer la reproduction,women,90,Male *,26–35 *,Self-employed *,,Islam  *,Rwanda *,Burkinabe  *,fr,to take care of children and to ensure reproduction,Mossi
les femmes ne peuvent pas diriger comme les hommes,women,90,Male *,26–35 *,Self-employed *,,Islam  *,Rwanda *,Burkinabe  *,fr,Women cannot lead like men,Mossi
les femmes sont trop fragiles pour exercer des métiers physiques traditionnellement réservés aux hommes,women,90,Male *,26–35 *,Self-employed *,,Islam  *,Rwanda *,Burkinabe  *,fr,Women are too fragile to exercise physical trades traditionally reserved for men,Mossi
la femme vertueuse doit faire preuve de douceur et de soumission et les femmes sont guidées principalement par leurs émotions.,women,90,Male *,26–35 *,Self-employed *,,Islam  *,Rwanda *,Burkinabe  *,fr,The virtuous woman must show sweetness and submission and women are guided mainly by their emotions.,Mossi
Les hommes doivent faire preuve de force et de virilité,men,90,Male *,26–35 *,Self-employed *,,Islam  *,Rwanda *,Burkinabe  *,fr,Men must show strength and virility,Mossi
en réprimant toute manifestation de faiblesse ou d’émotion,men,90,Male *,26–35 *,Self-employed *,,Islam  *,Rwanda *,Burkinabe  *,fr,by repressing any manifestation of weakness or emotion,Mossi
notamment les larmes,men,90,Male *,26–35 *,Self-employed *,,Islam  *,Rwanda *,Burkinabe  *,fr,especially tears,Mossi
les hommes sont perçus comme naturellement polygames et infidèles,men,90,Male *,26–35 *,Self-employed *,,Islam  *,Rwanda *,Burkinabe  *,fr,men are perceived as naturally polygamous and unfaithful,Mossi
et doivent avoir plusieurs partenaires pour être considérés comme de « vrais hommes » ; enfin,men,90,Male *,26–35 *,Self-employed *,,Islam  *,Rwanda *,Burkinabe  *,fr,"and must have several partners to be considered as ""real men""; Finally",Mossi
les hommes ne doivent pas y participer aux  tâches domestiques dans le cadre du mariage.,men,90,Male *,26–35 *,Self-employed *,,Islam  *,Rwanda *,Burkinabe  *,fr,Men should not participate in domestic tasks as part of marriage.,Mossi
Les Mossi aiment le pouvoir et le leadership,ethnicity_region,90,Male *,26–35 *,Self-employed *,,Islam  *,Rwanda *,Burkinabe  *,fr,Mossi love power and leadership,Mossi
les Mossi sont profondément attachés à leurs traditions et font preuve d’un grand conservatisme culturel.,ethnicity_region,90,Male *,26–35 *,Self-employed *,,Islam  *,Rwanda *,Burkinabe  *,fr,Mossi are deeply attached to their traditions and show great cultural conservatism.,Mossi
Tous les musulmans sont arabes et terroristes.,religion,90,Male *,26–35 *,Self-employed *,,Islam  *,Rwanda *,Burkinabe  *,fr,All Muslims are Arab and terrorists.,Mossi
Les personnes âgées sont perçues comme détenant le monopole de la raison,age,90,Male *,26–35 *,Self-employed *,,Islam  *,Rwanda *,Burkinabe  *,fr,The elderly are perceived as holding the monopoly of reason,Mossi
vérité et de la parole.,age,90,Male *,26–35 *,Self-employed *,,Islam  *,Rwanda *,Burkinabe  *,fr,truth and speech.,Mossi
Les policiers sont  perçus comme corrompus,profession,90,Male *,26–35 *,Self-employed *,,Islam  *,Rwanda *,Burkinabe  *,fr,The police are perceived as corrupt,Mossi
et les avocats comme des menteurs convaincants.,profession,90,Male *,26–35 *,Self-employed *,,Islam  *,Rwanda *,Burkinabe  *,fr,And lawyers as convincing liars.,Mossi
Les Igbo du Nigeria sont  considérés comme de grands adeptes de rituels traditionnels.,misc,90,Male *,26–35 *,Self-employed *,,Islam  *,Rwanda *,Burkinabe  *,fr,Nigeria IGBOs are considered to be great followers of traditional rituals.,Mossi
Matérialiste,women,91,Male *,36–50 *,Unemployed *,,Islam  *,Senegal *,Senegalese *,fr,Materialist,Wolof *
trop bavard,women,91,Male *,36–50 *,Unemployed *,,Islam  *,Senegal *,Senegalese *,sv,talkative,Wolof *
Travailleur,men,91,Male *,36–50 *,Unemployed *,,Islam  *,Senegal *,Senegalese *,fr,Worker,Wolof *
sincère,men,91,Male *,36–50 *,Unemployed *,,Islam  *,Senegal *,Senegalese *,ca,sincere,Wolof *
Wolof sont digne,ethnicity_region,91,Male *,36–50 *,Unemployed *,,Islam  *,Senegal *,Senegalese *,en,Wolof sont digne,Wolof *
Les chrétiens sont très bien éduqués,religion,91,Male *,36–50 *,Unemployed *,,Islam  *,Senegal *,Senegalese *,fr,Christians are very well educated,Wolof *
Feneant,age,91,Male *,36–50 *,Unemployed *,,Islam  *,Senegal *,Senegalese *,it,Gentth,Wolof *
n'aime pas école,age,91,Male *,36–50 *,Unemployed *,,Islam  *,Senegal *,Senegalese *,fr,does not like school,Wolof *
Les médecins quittent les hôpitaux publics pour le privé,profession,91,Male *,36–50 *,Unemployed *,,Islam  *,Senegal *,Senegalese *,fr,Doctors leave public hospitals for private,Wolof *
Diola aime le gnankatang,misc,91,Male *,36–50 *,Unemployed *,,Islam  *,Senegal *,Senegalese *,tl,Diola loves gnankatang,Wolof *
Women are smart,women,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,sv,Women are smart,Peulh *
women are sensitive,women,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,en,women are sensitive,Peulh *
women overact to small things,women,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,en,women overact to small things,Peulh *
women are not so good at leading,women,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,en,women are not so good at leading,Peulh *
women are complicated,women,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,en,women are complicated,Peulh *
women are weak,women,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,nl,women are weak,Peulh *
Men are good leaders,men,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,en,Men are good leaders,Peulh *
men are strong,men,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,no,men are strong,Peulh *
men are not that smart,men,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,en,men are not that smart,Peulh *
men are impulsive,men,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,ro,men are impulsive,Peulh *
men are liars,men,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,sv,men are liars,Peulh *
men are not reliable,men,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,no,men are not reliable,Peulh *
men are emotionless,men,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,fr,men are emotionless,Peulh *
The Peulhs are smart,ethnicity_region,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,en,The Peulhs are smart,Peulh *
peulhs are dangerous,ethnicity_region,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,fr,Peulhs are dangerous,Peulh *
wolofs are elegant,ethnicity_region,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,af,wolofs are elegant,Peulh *
jollahs are strong,ethnicity_region,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,sv,jollahs are strong,Peulh *
Muslims are strict,religion,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,ro,Muslims are strict,Peulh *
dangerous,religion,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,id,dangerous,Peulh *
kind,religion,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,tr,kind,Peulh *
love giving,religion,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,da,love giving,Peulh *
tolerant,religion,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,it,tolerant,Peulh *
gentle,religion,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,de,gentle,Peulh *
oppress women.,religion,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,nl,oppress women.,Peulh *
Old people are wise,age,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,en,Old people are wise,Peulh *
weak,age,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,sw,weak,Peulh *
careless,age,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,it,careless,Peulh *
authoritarian,age,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,en,authoritarian,Peulh *
kings,age,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,tl,kings,Peulh *
good advisor. Young people are daring,age,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,en,good advisor. Young people are daring,Peulh *
stubborn,age,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,sv,stubborn,Peulh *
careless,age,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,it,careless,Peulh *
not listening.,age,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,no,not listening.,Peulh *
Doctors are good at everything,profession,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,en,Doctors are good at everything,Peulh *
never get sick,profession,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,da,never get sick,Peulh *
super smart,profession,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,ca,super smart,Peulh *
the best,profession,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,en,the best,Peulh *
the cream of the cream. Entrepreneurs are mad,profession,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,en,the cream of the cream. Entrepreneurs are mad,Peulh *
should get a proper job,profession,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,en,should get a proper job,Peulh *
not willing for stability. Laws are liars,profession,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,en,not willing for stability. Laws are liars,Peulh *
daring.,profession,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,id,daring.,Peulh *
Running out of idea,misc,92,Female  *,18–25 *,A student *,,Islam  *,Senegal *,Senegalese *,en,Running out of idea,Peulh *
Women are weak,women,93,Male *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,nl,Women are weak,Yoruba *
women are homemakers and women are to be in the 'other room,women,93,Male *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women are homemakers and women are to be in the 'other room,Yoruba *
women love money,women,93,Male *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women love money,Yoruba *
women talk too much.,women,93,Male *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,women talk too much.,Yoruba *
Men don't cry,men,93,Male *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,fr,Men don't cry,Yoruba *
men are breadwinners,men,93,Male *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,no,men are breadwinners,Yoruba *
men are polygamist by nature,men,93,Male *,Over 50 *,Employed *,Healthcare   *,Christianity  *,Nigeria *,Nigerian *,en,men are polygamist by nature,Yoruba *
