stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,ethnic_identity,identity_term,attribute_term
Weaknesses: women are weak in decision making especially relationships decision.,women,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,Weaknesses: women are weak in decision making especially relationships decision,['yoruba'],weaknesses: women,weak in decision making especially relationships decision
Ego: men are seem to be arrogant,men,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,nl,Ego: men are seem to be arrogant,['yoruba'],ego: men,seem to be arrogant
Aggressive:  most men are emotionally aggressive towards women,men,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,Aggressive:  most men are emotionally aggressive towards women,['yoruba'],aggressive:  most men,emotionally aggressive towards women
Body physic,men,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,cy,Body physic,['yoruba'],body,physic
Financial stability: men are being stereotypes base on Financial capabilities.,men,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,Financial stability: men are being stereotypes base on Financial capabilities,['yoruba'],financial stability: men,being stereotypes base on financial capabilities
Islam: people believe you're fanatic related to you base on  this.,ethnicity_region,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,Islam: people believe you're fanatic related to you base on  this,['yoruba'],islam: people,believe you're fanatic related to you base on  this
Similar thing happens if u are a Christian some folks are not just comfortable relating to you base on your religion association,ethnicity_region,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,Similar thing happens if u are a Christian some folks are not just comfortable relating to you base on your religion association,['yoruba'],similar thing happens if u,a christian some folks are not just comfortable relating to you base on your religion association
Ethnicity: some people fee more comfortable and associated with their ethnic group,ethnicity_region,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,Ethnicity: some people fee more comfortable and associated with their ethnic group,['yoruba'],ethnicity: some people,fee more comfortable and associated with their ethnic group
they see other ethnic are bad or evil.,ethnicity_region,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,they see other ethnic are bad or evil,['yoruba'],they see other ethnic,bad or evil
Muslim: been Muslim is a crime to spe people 🙄 because you're presumably a terrorist or fanatic.,religion,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,Muslim: been Muslim is a crime to spe people 🙄 because you're presumably a terrorist or fanatic,['yoruba'],muslim: been muslim is a crime to spe people,🙄 because you're presumably a terrorist or fanatic
Christianity : they seem as conservative,religion,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,Christianity : they seem as conservative,['yoruba'],christianity,: they seem as conservative
not relevant with trends. Even seem as a witch,age,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,Even seem as a witch,['yoruba'],even,seem as a witch
too rigid with culture,age,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,too rigid with culture,['yoruba'],too,rigid with culture
There are alot of steotypes associated with profession examples Police officers are presume to be corrupt,profession,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,There are alot of steotypes associated with profession examples Police officers are presume to be corrupt,['yoruba'],there,alot of steotypes associated with profession examples police officers are presume to be corrupt
Prostitution : referring to a lady as a prostitute,misc,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,Prostitution : referring to a lady as a prostitute,['yoruba'],prostitution,: referring to a lady as a prostitute
Short people: referring to them as dwarf,misc,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,Short people: referring to them as dwarf,['yoruba'],short,people: referring to them as dwarf
People from Kogi are wicked,ethnicity_region,104,Female,26–35 *,Unemployed *,,Islam,Nigeria,Nigerian,en,People from Kogi are wicked,"['yoruba', 'nupe']",people from kogi,are wicked
People from the northern states are decent,ethnicity_region,104,Female,26–35 *,Unemployed *,,Islam,Nigeria,Nigerian,en,People from the northern states are decent,"['yoruba', 'nupe']",people from the northern,states are decent
Dont know,ethnicity_region,105,Male,36–50 *,A student *,,Islam,Nigeria,Nigerian,en,Dont know,['hausa'],dont,know
Dont know,misc,105,Male,36–50 *,A student *,,Islam,Nigeria,Nigerian,en,Dont know,['hausa'],dont,know
