stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,identity_term,identity_term_modified,attribute_term,attribute_term_modified,ethnic_identity,person assigned to
younger folks are too money conscious,age,93,Male,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,younger folks are too money conscious,younger folks,young people ,too money conscious,,['yoruba'],Daniella
gen-Zs are impulsive,age,93,Male,Over 50 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,ro,gen-Zs are impulsive,gen-zs,,impulsive,,['yoruba'],Daniella
Les Peulhs sont ethnicistes . Les Wolofs se croient au dessus de tout le monde,ethnicity_region,94,Male,Over 50 *,Employed *,Education *,Islam,Senegal,Senegalese,fr,Wolofs believe themselves above everyone,wolofs,wolof people ,believe themselves above everyone,think they are above everyone ,['peulh'],Daniella
Les commerçants sont riches,profession,94,Male,Over 50 *,Employed *,Education *,Islam,Senegal,Senegalese,fr,Merchants are rich,merchants,,rich,,['peulh'],Daniella
Les Africains attendent trop des autres,misc,94,Male,Over 50 *,Employed *,Education *,Islam,Senegal,Senegalese,fr,Africans expect too much from others,africans,,expect too much from others,,['peulh'],Daniella
Touts are vulgar,profession,95,Male,26–35 *,Self-employed *,,Other,Kenya,Kenyan,et,Touts are vulgar,touts,,vulgar,,"['kikuyu', 'luo']",Daniella
If you are young you can't run a company,misc,95,Male,26–35 *,Self-employed *,,Other,Kenya,Kenyan,en,If you are young you can't run a company,if you,young people ,young you can't run a company,can't run a company,"['kikuyu', 'luo']",Daniella
Kind & nurturing,women,96,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,de,Kind & nurturing,kind,women ,& nurturing,kind ,['idoma'],Daniella
,,,,,,,,,,,,,women ,,nurturing,,
warm & receptive,women,96,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,warm & receptive,warm,women ,& receptive,warm ,['idoma'],Daniella
,,,,,,,,,,,,,women ,,receptive ,,
strong & resilient,women,96,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,af,strong & resilient,strong,women ,& resilient,strong ,['idoma'],Daniella
,,,,,,,,,,,,,women ,,resilient ,,
intelligent and skillful,men,96,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,da,intelligent and skillful,intelligent,men,and skillful,intelligent,['idoma'],Daniella
,,,,,,,,,,,,,men,,skillful,,
that He is the Messiah anointed by God to save humanity,religion,96,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,that He is the Messiah anointed by God to save humanity,that he,men,the messiah anointed by god to save humanity,think they are the messiah anointed by god to save humanity,['idoma'],Daniella
older adults are perceived as strong and fragile,age,96,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,older adults are perceived as strong and fragile,older adults,old people ,perceived as strong and fragile,perceived as strong ,['idoma'],Daniella
,,,,,,,,,,,,,old people ,,perceived as fragile ,,
intelligent and disciplined. Doctors are termed as smart,profession,96,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,intelligent and disciplined,intelligent,doctors ,and disciplined,smart,['idoma'],Daniella
,,,,,,,,,,,,,doctors ,,intelligent,,
,,,,,,,,,,,,,doctors ,,disciplined ,,
good leaders.,women,97,Male,36–50 *,Self-employed *,,Christianity,Kenya,Kenyan,en,good leaders,good,women ,leaders,good leaders,['luo'],Daniella
hard working,men,97,Male,36–50 *,Self-employed *,,Christianity,Kenya,Kenyan,af,hard working,hard,men,working,hard working ,['luo'],Daniella
bread winners.,men,97,Male,36–50 *,Self-employed *,,Christianity,Kenya,Kenyan,en,bread winners,bread,men,winners,bread winners,['luo'],Daniella
Ga people are aggressive and quick-tempered,ethnicity_region,99,Male,26–35 *,Self-employed *,,Christianity,Other Country,Nigerian,en,Ga people are aggressive and quick-tempered,ga people,,are aggressive and quick-tempered,are aggressive ,['yoruba'],Daniella
,,,,,,,,,,,,,ga people ,,are quick-tempered ,,
Tech people are rich,profession,99,Male,26–35 *,Self-employed *,,Christianity,Other Country,Nigerian,en,Tech people are rich,tech people,,are rich,,['yoruba'],Daniella
PR don't understand what they do,profession,99,Male,26–35 *,Self-employed *,,Christianity,Other Country,Nigerian,en,PR don't understand what they do,pr,Public relations people ,don't understand what they do,,['yoruba'],Daniella
Women who are financially stable are threats to their families,women,100,Female,18–25 *,A student *,,Islam,Nigeria,Nigerian,en,Women who are financially stable are threats to their families,women who,financially stable women,financially stable are threats to their families,are threats to their families ,['yoruba'],Daniella
men who show emotions are weak,men,100,Female,18–25 *,A student *,,Islam,Nigeria,Nigerian,en,men who show emotions are weak,men who show emotions,emotional men,weak,,['yoruba'],Daniella
herbalists are wicked,profession,100,Female,18–25 *,A student *,,Islam,Nigeria,Nigerian,en,herbalists are wicked,herbalists,,wicked,,['yoruba'],Daniella
architects are women,profession,100,Female,18–25 *,A student *,,Islam,Nigeria,Nigerian,en,architects are women,architects,,women,,['yoruba'],Daniella
Women should not have a say in household or family matters,women,101,Female,18–25 *,A student *,,Islam,Nigeria,Nigerian,en,Women should not have a say in household or family matters,women should not,women,a say in household or family matters,should not have a say in household matters,['yoruba'],Daniella
,,,,,,,,,,,,,women,,should not have a say in family matters,,
Ebira people arr wicked,ethnicity_region,101,Female,18–25 *,A student *,,Islam,Nigeria,Nigerian,en,Ebira people arr wicked,ebira people,,are wicked,,['yoruba'],Daniella
Nigerian federal institution system is the best,misc,101,Female,18–25 *,A student *,,Islam,Nigeria,Nigerian,en,Nigerian federal institution system is the best,nigerian federal institution system,,the best,,['yoruba'],Daniella
the Igbos are business oriented,ethnicity_region,102,Male,26–35 *,Employed *,Entertainment *,Christianity,Nigeria,Nigerian,en,the Igbos are business oriented,the igbos,igbo people ,business oriented,,['igbo'],Daniella
the Northerns are family oriented,ethnicity_region,102,Male,26–35 *,Employed *,Entertainment *,Christianity,Nigeria,Nigerian,en,the Northerns are family oriented,the northerns,people from northern nigeria ,family oriented,,['igbo'],Daniella
while the yorubas are educationally incline.,ethnicity_region,102,Male,26–35 *,Employed *,Entertainment *,Christianity,Nigeria,Nigerian,en,while the yorubas are educationally incline,while the yorubas,yoruba people ,educationally inclined,,['igbo'],Daniella
while traditional worship serve idols,religion,102,Male,26–35 *,Employed *,Entertainment *,Christianity,Nigeria,Nigerian,en,while traditional worship serve idols,while,traditional worshipers ,traditional worship serve idols,serve idols ,['igbo'],Daniella
Professors are educational leaders,misc,102,Male,26–35 *,Employed *,Entertainment *,Christianity,Nigeria,Nigerian,en,Professors are educational leaders,professors,,educational leaders,,['igbo'],Daniella
Emotional: women are too Emotional in reacting to issue's,women,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,Emotional: women are too Emotional in reacting to issue's,emotional: women,women,too emotional in reacting to issue's,too emotional in reacting to issues,['yoruba'],Daniella
Caregivers:  women  are often see as a lover of children and the elderly add hey do so with empathy.,women,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,Caregivers:  women  are often see as a lover of children and the elderly add hey do so with empathy,caregivers:  women,women,often see as a lover of children and the elderly add hey do so with empathy,often seen as a lover of children ,['yoruba'],Daniella
Weaknesses: women are weak in decision making especially relationships decision.,women,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,Weaknesses: women are weak in decision making especially relationships decision,weaknesses: women,women,weak in decision making especially relationships decision,,['yoruba'],Daniella
Ego: men are seem to be arrogant,men,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,nl,Ego: men are seem to be arrogant,ego: men,men,seem to be arrogant,,['yoruba'],Daniella
Aggressive:  most men are emotionally aggressive towards women,men,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,Aggressive:  most men are emotionally aggressive towards women,aggressive:  most men,men,emotionally aggressive towards women,,['yoruba'],Daniella
Body physic,men,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,cy,Body physic,body,men,physic,body physic,['yoruba'],Daniella
Financial stability: men are being stereotypes base on Financial capabilities.,men,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,Financial stability: men are being stereotypes base on Financial capabilities,financial stability: men,men,being stereotypes base on financial capabilities,,['yoruba'],Daniella
Ethnicity: some people fee more comfortable and associated with their ethnic group,ethnicity_region,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,Ethnicity: some people fee more comfortable and associated with their ethnic group,ethnicity: some people,some people ,fee more comfortable and associated with their ethnic group,feel more comfortable with their ethnic group,['yoruba'],Daniella
,,,,,,,,,,,,,some people ,,feel more associated with their ethnic group,,
Muslim: been Muslim is a crime to spe people 🙄 because you're presumably a terrorist or fanatic.,religion,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,Muslim: been Muslim is a crime to spe people 🙄 because you're presumably a terrorist or fanatic,muslim: been muslim is a crime to spe people,muslims,🙄 because you're presumably a terrorist or fanatic,terrorist ,['yoruba'],Daniella
,,,,,,,,,,,,,muslims,,fanatic,,
Christianity : they seem as conservative,religion,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,Christianity : they seem as conservative,christianity,christians ,: they seem as conservative,conservative ,['yoruba'],Daniella
There are alot of steotypes associated with profession examples Police officers are presume to be corrupt,profession,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,There are alot of steotypes associated with profession examples Police officers are presume to be corrupt,there,police officers,alot of steotypes associated with profession examples police officers are presume to be corrupt,presume to be corrupt ,['yoruba'],Daniella
Short people: referring to them as dwarf,misc,103,Male,26–35 *,Employed *,IT & Software   *,Christianity,Nigeria,Nigerian,en,Short people: referring to them as dwarf,short,short people ,people: referring to them as dwarf,dwarf ,['yoruba'],Daniella
People from Kogi are wicked,ethnicity_region,104,Female,26–35 *,Unemployed *,,Islam,Nigeria,Nigerian,en,People from Kogi are wicked,people from kogi,kogi people,are wicked,,"['yoruba', 'nupe']",Daniella
People from yorubaland are loud,ethnicity_region,104,Female,26–35 *,Unemployed *,,Islam,Nigeria,Nigerian,en,People from yorubaland are loud,people from yorubaland,yoruba people ,are loud,,"['yoruba', 'nupe']",Daniella
People from the northern states are decent,ethnicity_region,104,Female,26–35 *,Unemployed *,,Islam,Nigeria,Nigerian,en,People from the northern states are decent,people from the northern,people from northern nigeria ,states are decent,decent,"['yoruba', 'nupe']",Daniella
